Name,Latitude,Longitude,Category,Description
Giant Sequoia Grove,37.7749,-122.4194,Tree,Collection of magnificent giant sequoias some over 100 years old
Japanese Maple Collection,37.7754,-122.4189,Tree,Stunning collection of Japanese maples featuring over 20 varieties
Rose Garden,37.7739,-122.4184,Garden,Beautiful rose garden with over 50 varieties in bloom from spring through fall
Herb Garden,37.7744,-122.4179,Garden,Educational herb garden featuring culinary medicinal and aromatic plants
Nature Trail Loop,37.7759,-122.4204,Trail,Easy 1.5-mile loop trail through diverse ecosystems
Redwood Grove Trail,37.7764,-122.4209,Trail,Peaceful 0.8-mile trail through towering coast redwoods
Visitor Center,37.7729,-122.4174,Facility,Main visitor center with maps gift shop restrooms and educational displays
Greenhouse Complex,37.7734,-122.4169,Facility,Research greenhouses featuring tropical plants orchids and rare species
Overlook Point,37.7769,-122.4214,Viewpoint,Scenic overlook with panoramic views of the entire arboretum
Sunset Vista,37.7774,-122.4219,Viewpoint,Western-facing viewpoint offering spectacular sunset views
Memorial Oak,37.7749,-122.4199,Landmark,Historic 300-year-old oak tree designated as a living landmark
Founder's Fountain,37.7739,-122.4189,Landmark,Memorial fountain honoring the arboretum's founders
